__label__love __label__sadness	yes , update the rb just now . sorry , no perf number yet . let me run some experiment for that . thanks .
__label__love __label__joy	thanks randy ! commit ; - r
__label__love __label__joy	commit to trunk . thanks , bharath ! and thanks cos for help review .
__label__love __label__joy	ah great , thanks !
__label__love __label__joy	patch look great ! thanks artem . no more mixing in of fuzzy - ness into analyzingsuggester . it look like we be do the utf0 conversion + det twice per lookup , once in convertautomaton and once in getfullprefixpaths . but , i think this be inevitable : the #ord# conversion be on the " straight " automaton , for exactfirst match , and the #ord# #crd# be on the lev automaton , for non-exactfirst . really we should only do the #ord# convertautomaton if exactfirst be true .. but this be an optimization so we do not need to fix it now .
__label__love __label__joy	upvote look good to me . thanks , hyunsik !
__label__love __label__joy	hi leon , thanks i will take a look . anyway i think of refactoring this parsing mechanism , we can do well 🙂 . cheer sascha
__label__sadness	thanks jukka for fix this 🙂 ( sorry )
__label__sadness	sorry , forget to mention this . try to switch the tab a #ord# time . the #ord# click on " tab b " will correctly render " content b " . but switch back to " tab a " and then again back to " tab b " fail to render " content b " .
__label__sadness	sorry i think submit patch be the way to attach a patch .
__label__sadness	no sorry .
__label__sadness	mark , alexey 's right , the original fix be invalid . please undo all the patch . sorry .
__label__sadness	aside from the job succeed ( it do not ) , what effect should i be able to measure ( in order to see if this be do anything ) ?
__label__sadness	sorry , i take martin 's comment to mean the patch be commit and issue close , which certainly discard all the patch the #ord# time around .
__label__sadness	unable to reproduce issue .
__label__sadness	this might be a bug indeed .
__label__sadness	sorry to close this david , but the messenger component head over to codehaus where i think it 's pretty much dead .
__label__sadness	sorry alvaro , lot of thing need to be do at the same time . but i be still not % clear what you want me to do / change . i put installation / wiki link on top - right now : #hlink# what about the link to the tutorial , you want to put those in the section " installation and upgrade " right ? sebastian
__label__sadness	sorry for the mess there , i be just try to port cfs and hive metastore too … but those test do not work right now , so put it on hold , get it to work with cql0 column family be a priority for me right now , so will come back to those later . just for the hive handler , please look at the ( cas - support - simple - hive ) branch - #hlink# all the test case ( whatever few they have ) pass there and it be work perfectly with thrift / compact storage column family .
__label__sadness	sorry - the federated build be still work out kink …
__label__sadness	sorry for my poor review , do not notice try / catch ☹️
__label__sadness	whoops , sorry .
__label__sadness	for some reason , i could not upload the straight patch .
__label__sadness	it be attach to the wrong bug .
__label__sadness	last try .
__label__sadness	you misunderstand the response : stopfilter indeed do not change .
__label__sadness	sorry about that …
__label__sadness	some file be miss in the last patch , sorry .
__label__sadness	sorry to have not spot this #crd# , and thanks for your care .
__label__sadness	sorry i put a comment here which be for another issue ( tired as say already )
__label__sadness	fixed . sorry for long waiting . i do not find the time . author : tterm date : mon jul new revision : url : #hlink# ? rev = & view = rev log : preserve or configure content - type of http - header modify : servicemix / smx0 / branch / servicemix- / deployables / bindingcomponents / servicemix - http / src / main / java / org / apache / servicemix / http / httpendpoint . java servicemix / smx0 / branch / servicemix- / deployables / bindingcomponents / servicemix - http / src / main / java / org / apache / servicemix / http / processor / providerprocessor . java
__label__sadness	i screw up the encoding of the stopwords file ( sorry ) .
__label__sadness	sorry again , i try with the same revision , same language , same theme and i use also ff0 and i still do not reproduce ( see screenshot- ) it would be interesting ot have other person test
__label__sadness	i be sorry for make it confusing .
__label__sadness	sorry to come in late . some clarification : # mr0 jt kill all run task on a tt when it 's deem ' lose ' . # it also kill all complete map on that tt for ' active ' job . # the task be mark kill rather than fail and thus do not count towards the job , which be correct since it be not the job 's fault . hope this help .
__label__sadness	yes exactly -- sorry to be so unclear .
__label__sadness	i misread the original description .
__label__sadness	i do it wrong this time .
__label__sadness	sorry .
__label__sadness	sorry for the wild goose chase !
__label__sadness	this be my fault , do not try other profile , yarn be break as well . work now .
__label__sadness	i be new to spring integration , so forgive me for the stupid thing i might say .
